"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"Duke",56.7724068479355,13,15.6928067330031,117,38.0952380952381,8,37.7643504531722,113
2026,"Duquesne",52.3268698060942,129,17.675105461081,252,30.4186046511628,186,38.3379501385042,99
2026,"East Carolina",46.4145658263305,346,17.0836456214236,212,33.3931777378815,82,39.1596638655462,77
2026,"East Tennessee St.",55.2529182879377,37,15.1502791147575,72,28.2587064676617,257,34.9638688160089,181
2026,"East Texas A&M",49.2234169653524,284,19.2193068885402,330,25.7359924026591,328,32.0191158900836,259
2026,"Eastern Illinois",45.7057057057057,353,18.556752319594,302,28.2273603082852,259,33.5135135135135,225
2026,"Eastern Kentucky",52.094668117519,142,16.91241019761,193,32.5268817204301,108,30.7399347116431,287
2026,"Eastern Michigan",49.5702005730659,265,17.4186524736906,229,27.8095238095238,273,29.3409742120344,325
2026,"Eastern Washington",53.7277147487844,75,17.6819940610096,253,31.2681510164569,156,36.0886007563479,155
2026,"Elon",52.2005571030641,136,15.9307735476746,132,32.1828358208955,119,33.5376044568245,223
2026,"Evansville",49.2682926829268,280,19.0851164302492,323,22.0355731225296,355,29.7560975609756,316
2026,"FIU",50.5675368898978,213,17.7236750421354,255,33.9252336448598,69,38.5925085130533,92
2026,"Fairfield",48.784046692607,295,15.3438588005017,89,35.7594936708861,32,27.6750972762646,345
2026,"Fairleigh Dickinson",47.1428571428571,333,18.1464158821286,281,31.957773512476,126,32.7950310559006,241
2026,"Florida",53.5546139359699,84,16.4766519777732,161,43.1356620633631,2,39.0772128060264,82
2026,"Florida A&M",49.2317148125384,282,21.5413547607127,359,30.7845084409136,173,37.4308543331285,120
2026,"Florida Atlantic",52.2180652057723,134,17.6141457933743,244,31.5695067264574,140,33.2977017637627,232
2026,"Florida Gulf Coast",51.9877675840979,149,15.915682647547,129,31.1033883579496,162,29.0519877675841,331
2026,"Florida St.",52.3170731707317,131,15.2296577545747,78,30.7692307692308,174,34.6829268292683,194
2026,"Fordham",48.6111111111111,301,17.1865646824077,218,34.1107871720117,66,26.4184397163121,356
2026,"Fresno St.",50.6211180124224,209,18.1401676802679,280,27.8564683663834,272,33.8226990400903,220
2026,"Furman",54.7929665343165,46,17.8420475188403,261,30.95703125,170,32.1043675553035,257
2026,"Gardner Webb",47.7738722905682,318,19.8273933571168,344,23.1763619575254,349,30.2870533099004,304
2026,"George Mason",53.0630630630631,106,15.881510983882,127,31.055900621118,165,41.1411411411411,49
2026,"George Washington",54.6463603510583,52,17.918178837208,266,36.234458259325,24,35.5188435725348,168
