"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"Cal Baptist",46.4094319399786,15,17.1479342514438,140,27.2419627749577,45,37.1382636655949,239
2026,"Cal Poly",53.8019009504752,292,16.2142476367417,215,29.5979469632164,139,34.1170585292646,154
2026,"Cal St. Bakersfield",54.0322580645161,302,17.8992478873724,106,35.5805243445693,349,42.6585094549499,334
2026,"Cal St. Fullerton",54.2908530318602,308,19.4653248017229,35,28.3422459893048,83,35.3031860226105,187
2026,"California",49.6189439303212,86,16.0661111239353,223,30.2712160979878,175,37.2346216657594,245
2026,"Campbell",53.9163090128755,295,16.9598375426088,159,31.9656488549618,252,37.0171673819742,236
2026,"Canisius",52.2174969623329,225,15.9966974560091,226,29.7959183673469,149,35.176184690158,182
2026,"Central Arkansas",54.9376017362995,328,19.0478309727523,50,27.434456928839,50,30.0596852957135,60
2026,"Central Connecticut",50.210463018641,115,13.9558971842887,338,30.4303278688525,182,26.879134095009,21
2026,"Central Michigan",53.9520958083832,299,16.9581346051934,160,34.297520661157,323,38.9820359281437,282
2026,"Charleston",49.2358634742741,77,14.7144965908292,307,32.3407775020678,274,26.0825267447784,14
2026,"Charleston Southern",46.9463621879979,21,12.7577800086046,359,30.3055326176713,176,43.2819968135953,340
2026,"Charlotte",50.9124087591241,154,13.5996993263754,345,32.5479930191972,286,36.1835245046924,211
2026,"Chattanooga",51.7119244391972,196,13.1639369355579,351,31.7073170731707,237,42.6210153482881,333
2026,"Chicago St.",56.6686602870813,354,20.0793893129771,23,35,340,37.9784688995215,262
2026,"Cincinnati",47.371160853722,28,18.2039430963074,90,27.2727272727273,47,30.0364393545029,59
2026,"Clemson",48.9195029713668,66,17.4786393860182,124,25.6993006993007,16,33.1172339276067,134
2026,"Cleveland St.",57.177033492823,360,15.0845587591433,280,36.5924491771539,356,35.5130249867092,194
2026,"Coastal Carolina",46.8035343035343,20,12.274609785079,364,27.6003276003276,54,34.9272349272349,173
2026,"Colgate",52.2070844686649,224,15.2924084955211,269,29.3087557603687,128,33.7874659400545,145
2026,"Colorado",52.8936392075078,262,15.4375255725486,259,29.6564195298373,143,36.2877997914494,218
2026,"Colorado St.",53.1161473087819,272,15.2945103632446,268,28.952380952381,100,34.2776203966006,157
2026,"Columbia",51.165889407062,168,15.0375939849624,288,27.2222222222222,44,33.5109926715523,139
2026,"Connecticut",45.656894679696,9,18.0349427014841,98,28.6795626576955,94,40.1737242128122,301
2026,"Coppin St.",55.4315913094539,339,17.5482878399981,121,34.7510373443983,334,42.9242513211979,338
2026,"Cornell",55.884203901825,343,15.0696369526736,282,30.6651634723788,188,37.1932032724984,243
2026,"Creighton",51.1205179282869,167,14.0385150522185,335,29.7181895815542,146,24.5517928286853,4
2026,"Dartmouth",52.83203125,257,13.8148379994388,341,29.7447280799112,147,30.7291666666667,78
2026,"Davidson",50.3885236102809,124,17.7532866644641,115,30.3921568627451,181,36.5809922295278,227
2026,"Dayton",50.9100937672366,153,21.5693811432651,6,29.6693476318141,144,35.7970215113072,202
2026,"DePaul",49.2945823927765,79,18.6399524773489,66,31.0506566604128,204,37.8103837471783,257
2026,"Delaware",51.5082527034718,187,14.0473651612574,334,31.0576923076923,205,30.1650540694365,61
2026,"Delaware St.",52.9329608938547,263,19.500270837095,33,32,253,40.5027932960894,306
2026,"Denver",56.0271646859083,344,12.9677359252244,356,32.7967806841046,296,36.7855121675156,229
2026,"Detroit Mercy",52.1702838063439,222,14.4319797378828,325,30.812324929972,193,37.6182526432944,254
2026,"Drake",52.6028110359188,245,14.6236411724047,315,29.9219427580225,154,32.0145757418011,100
2026,"Drexel",47.0670391061453,22,16.3901036362547,198,30.9973045822102,201,35.4189944134078,191
2026,"Duke",46.1793173713704,12,18.1475474510148,92,24.8012718600954,7,23.7391747325522,2
2026,"Duquesne",52.5385054192812,239,18.4077523195714,80,29.6015180265655,140,39.874500855676,297
2026,"East Carolina",52.2465753424658,228,16.2270840025221,212,32.6107445805844,290,32.1643835616438,107
2026,"East Tennessee St.",50.9994288977727,161,18.4134161548592,79,27.9135338345865,65,36.3792118789263,222
2026,"East Texas A&M",52.872582480091,260,16.9811091243051,157,32.7821011673152,294,34.4709897610921,164
2026,"Eastern Illinois",50.7669616519174,146,19.3030024128753,40,35.2418558736426,344,35.2802359882006,186
2026,"Eastern Kentucky",56.0845070422535,346,14.7625275453715,305,31.7145688800793,238,38.5352112676056,271
2026,"Eastern Michigan",50.2545248868778,117,15.580016934801,250,29.0654205607477,110,35.5203619909502,196
2026,"Eastern Washington",54.907306434024,326,16.1972464681004,217,30.8300395256917,194,37.2955288985823,246
2026,"Elon",53.9598438371444,300,16.4135242612405,195,33.5243553008596,308,34.6346904629113,168
2026,"Evansville",55.0568181818182,332,15.4054667329004,261,30.2231237322515,173,31.4204545454545,91
2026,"FIU",52.8538812785388,258,20.0106008540239,26,34.819734345351,337,35.9018264840183,206
2026,"Fairfield",50.9952854897852,160,16.8287483618406,167,29.140832595217,120,30.3823991618648,68
2026,"Fairleigh Dickinson",55.1712992889464,336,16.1123043673177,220,27.34375,49,36.2637362637363,217
2026,"Florida",46.2962962962963,14,15.3893602228948,262,24.805598755832,8,34.0246913580247,151
2026,"Florida A&M",51.183970856102,174,19.1478708984113,45,30.879345603272,198,39.6478445658773,295
2026,"Florida Atlantic",49.4906166219839,83,15.4804734936614,256,28.2722513089005,82,36.1930294906166,213
2026,"Florida Gulf Coast",53.4127843986999,280,16.4968733060248,185,28.2051282051282,77,38.2990249187432,266
2026,"Florida St.",52.2332506203474,226,18.984337921215,53,34.0604026845638,319,32.7047146401985,119
2026,"Fordham",49.937343358396,96,17.239773860991,134,26.8882175226586,33,30.2631578947368,63
2026,"Fresno St.",51.4929424538545,186,18.2331941811924,88,30.5656934306569,185,28.6102062975027,37
2026,"Furman",50.1077586206897,110,13.6693105991115,342,27.5285839929639,52,28.9331896551724,45
2026,"Gardner Webb",56.9474248927039,356,15.3061825203396,266,36.5664403491756,355,35.2467811158798,184
2026,"George Mason",49.3760635280771,80,15.6325844794324,248,28.348623853211,84,28.644356211004,38
2026,"George Washington",52.2554347826087,229,17.8292548727554,111,28.1393217231897,73,34.945652173913,175
2026,"Georgetown",49.9497739829232,97,16.2370434688229,211,31.4616019818332,223,33.9025615268709,146
2026,"Georgia",50.1449275362319,111,18.4420646729677,77,34.8178137651822,336,30.7729468599034,79
2026,"Georgia Southern",52.3328523328523,233,18.7765412576702,59,35.1896690879742,343,41.3660413660414,315
2026,"Georgia St.",50.6117908787542,137,16.3626819835529,199,33.6422613531047,313,34.9276974416018,174
2026,"Georgia Tech",49.9223200414293,95,15.5724968165015,251,30.6519898391194,187,34.2309684101502,155
2026,"Gonzaga",46.1902259590121,13,20.4974271012007,17,25.8842443729904,19,30.9511297950604,83
2026,"Grambling St.",50,99,20.7926318727323,15,32.4662813102119,281,40,299
2026,"Grand Canyon",47.4438202247191,31,17.3257833825885,132,25.3381424706943,13,38.9887640449438,283
2026,"Green Bay",53.5857716580608,287,13.1539093937952,352,29.5968534906588,138,37.4067699368904,249
2026,"Hampton",52.0075282308657,213,17.1874902130272,139,30.0411522633745,161,46.4868255959849,355
2026,"Harvard",50.4142766093053,127,17.1001461786689,148,28.169014084507,74,26.5774378585086,18
2026,"Hawaii",46.420581655481,16,16.9245371482155,162,24.9107142857143,10,36.0738255033557,209
2026,"High Point",50.0564971751412,105,21.9286866476407,5,31.6559926806953,235,36.3841807909604,224
2026,"Hofstra",45.8829902491874,10,15.0100938130863,289,30.5394190871369,184,35.373781148429,189
2026,"Holy Cross",54.7699214365881,324,14.0708691335629,332,26.9969666329626,40,27.5533108866442,27
2026,"Houston",46.5896279594138,17,21.0405120158933,13,30.8547008547009,196,39.0642615558061,286
2026,"Houston Christian",54.2291541691662,305,17.5667930943442,120,32.4894514767932,283,30.7138572285543,77
2026,"Howard",47.3765432098765,29,21.2536157217167,9,32.0197044334975,255,38.3333333333333,268
2026,"IU Indy",58.2156973461321,362,19.1808280314734,43,35.5509355509355,348,46.583850931677,356
2026,"Idaho",50.3291278113001,121,15.1923768428623,271,24.2258652094718,5,39.2210641799232,290
2026,"Idaho St.",54.4780545670225,316,14.709888313811,308,27.8203723986857,63,37.9596678529063,261
2026,"Illinois",47.6284584980237,35,11.6164256258349,365,26.9933554817276,39,20.602766798419,1
2026,"Illinois Chicago",49.8892580287929,92,19.5846311216339,32,32.0617620345141,259,34.3300110741971,159
2026,"Illinois St.",49.9714122355632,98,16.3523357933141,200,25.2572497661366,12,33.1046312178388,132
